GroupId,Artifactid,version,classifier
,,,
org.jogamp.jogl,jogl-all,2.0.2,natives-linux-i586
aopalliance,aopalliance,1.0,
asm,asm,3.3.1,
asm,asm,3.3.1,
asm,asm-analysis,3.3.1,
asm,asm-commons,3.3.1,
asm,asm-tree,3.3.1,
asm,asm-util,3.3.1,
axis,axis,1.4,
axis,axis-ant,1.4,
backport-util-concurrent,backport-util-concurrent,3.1,
bcel,bcel,5.1,
c3p0,c3p0,0.9.1.2,
cglib,cglib-nodep,2.2.2,
com.carrotsearch.randomizedtesting,junit4-ant,1.5.0,
com.cenqua.clover,clover,3.1.3,
com.google.code.findbugs,bcel,2.0.1,
com.google.code.findbugs,findbugs,2.0.1,
com.google.code.findbugs,findbugs-ant,2.0.1,
com.google.code.findbugs,jFormatString,2.0.1,
com.google.code.findbugs,jsr305,2.0.1,
com.google.guava,guava,13.0.1,
com.googlecode.jarjar,jarjar,1.3,
com.hazelcast,hazelcast,2.3.1,
com.jcraft,jsch,0.1.44-1,
com.mebigfatguy.fb-contrib,fb-contrib,4.8.1,
com.mockrunner,mockrunner-jdk1.5-j2ee1.3,0.4,
com.sun.jersey,jersey-client,1.12,
com.sun.jersey,jersey-core,1.12,
com.sun.jersey,jersey-json,1.12,
com.sun.jersey,jersey-server,1.12,
com.sun.jersey,jersey-servlet,1.12,
com.sun.jersey.contribs,jersey-multipart,1.13,
com.sun.jersey.contribs,jersey-spring,1.12,
com.yahoo.platform.yui,yuicompressor,2.4.2,
com.yahoo.platform.yui,yuicompressor,2.4.7,
commons-beanutils,commons-beanutils,1.8.3,
commons-betwixt,commons-betwixt,0.8,
commons-codec,commons-codec,1.6,
commons-collections,commons-collections,3.2.1,
commons-dbcp,commons-dbcp,1.4,
commons-digester,commons-digester,2.1,
commons-discovery,commons-discovery,0.5,
commons-fileupload,commons-fileupload,1.2.2,
commons-httpclient,commons-httpclient,3.1,
commons-io,commons-io,2.3,
commons-lang,commons-lang,2.6,
commons-pool,commons-pool,1.6,
commons-primitives,commons-primitives,1.0,
commons-validator,commons-validator,1.4.0,
dom4j,dom4j,1.6.1,
ecs,ecs,1.4.2,
genjar,genjar,1.0,
jakarta-regexp,jakarta-regexp,1.4,
javax.activation,activation,1.1.1,
javax.mail,mail,1.4.1,
javax.validation,validation-api,1.0.0.GA,
javax.ws.rs,jsr311-api,1.1.1,
jaxen,jaxen,1.1.1,
jgoodies,forms,1.0.5,
jgoodies,looks,1.2.2,
joda-time,joda-time,2.1,
jstl,jstl,1.2,
junit,junit,4.10,
log4j,log4j,1.2.16,
net.java.dev.javacc,javacc,4.1,
net.sf.ehcache,ehcache-core,2.0.0,
org.antlr,antlr-runtime,3.5,
org.antlr,stringtemplate,3.2.1,
org.apache.ant,ant,1.8.4,
org.apache.ant,ant-junit,1.8.4,
org.apache.chemistry.opencmis,chemistry-opencmis-client-api,0.7.0,
org.apache.chemistry.opencmis,chemistry-opencmis-client-bindings,0.7.0,
org.apache.chemistry.opencmis,chemistry-opencmis-client-impl,0.7.0,
org.apache.chemistry.opencmis,chemistry-opencmis-commons-api,0.7.0,
org.apache.chemistry.opencmis,chemistry-opencmis-commons-impl,0.7.0,
org.apache.commons,commons-jexl,2.1.1,
org.apache.cxf,cxf-bundle,2.2.7,
org.apache.directory.shared,shared-i18n,0.9.19,
org.apache.directory.shared,shared-ldap,0.9.19,
org.apache.directory.shared,shared-ldif,0.9.19,
org.apache.geronimo.specs,geronimo-annotation_1.0_spec,1.1.1,
org.apache.geronimo.specs,geronimo-jaxws_2.1_spec,1.0,
org.apache.geronimo.specs,geronimo-jms_1.1_spec,1.1.1,
org.apache.geronimo.specs,geronimo-stax-api_1.0_spec,1.0.1,
org.apache.geronimo.specs,geronimo-ws-metadata_2.0_spec,1.1.2,
org.apache.hadoop,hadoop-client,1.0.3,
org.apache.hadoop,hadoop-core,1.0.3,
org.apache.httpcomponents,httpclient,4.1.1,
org.apache.httpcomponents,httpcore,4.1,
org.apache.httpcomponents,httpmime,4.2.1,
org.apache.lucene,lucene-core,2.9.3,
org.apache.lucene,lucene-highlighter,2.9.3,
org.apache.lucene,lucene-memory,2.9.3,
org.apache.lucene,lucene-misc,2.9.3,
org.apache.lucene,lucene-queries,2.9.3,
org.apache.lucene,lucene-snowball,2.9.3,
org.apache.lucene,lucene-spellchecker,2.9.3,
org.apache.neethi,neethi,2.0.4,
org.apache.pdfbox,pdfbox,1.2.1,
org.apache.poi,ooxml-schemas,1.1,
org.apache.poi,poi,3.8,
org.apache.poi,poi-ooxml,3.8,
org.apache.poi,poi-scratchpad,3.8,
org.apache.santuario,xmlsec,1.4.3,
org.apache.solr,solr-solrj,3.5.0,
org.apache.velocity,velocity,1.7,
org.apache.ws.commons.axiom,axiom-api,1.2.7,
org.apache.xmlbeans,xmlbeans,2.5.0,
org.beanshell,bsh,2.0b4,
org.beanshell,bsh-core,2.0b4,
org.codehaus.cargo,cargo-ant,1.3.1,
org.codehaus.cargo,cargo-core-api-container,1.3.1,
org.codehaus.cargo,cargo-core-api-generic,1.3.1,
org.codehaus.cargo,cargo-core-api-module,1.3.1,
org.codehaus.cargo,cargo-core-api-util,1.3.1,
org.codehaus.cargo,cargo-core-container-weblogic,1.3.1,
org.codehaus.groovy,groovy-all,2.0.4,
org.codehaus.jackson,jackson-core-asl,1.9.8,
org.codehaus.jackson,jackson-jaxrs,1.9.8,
org.codehaus.jackson,jackson-mapper-asl,1.9.8,
org.codehaus.jackson,jackson-xc,1.9.8,
org.codehaus.jettison,jettison,1.1,
org.codehaus.mojo.webstart,webstart-jnlp-servlet,1.0-6.0.02_ea_b02.1,
org.codehaus.woodstox,stax2-api,3.1.1,
org.databene,contiperf,2.2.0,
org.easymock,easymock,2.4,
org.fitnesse,fitnesse,20121220,
org.hamcrest,hamcrest-core,1.1,
org.hamcrest,hamcrest-library,1.1,
org.hibernate,hibernate-validator,4.3.1.Final,
org.hibernate,hibernate-validator-annotation-processor,4.3.1.Final,
org.jdom,jdom,1.1,
org.jmock,jmock,2.5.1,
org.jmock,jmock-legacy,2.5.1,
org.json,json,20090211,
org.jvnet.mimepull,mimepull,1.8,
org.objenesis,objenesis,1.0,
org.ow2.asm,asm,4.1,
org.ow2.asm,asm-analysis,4.1,
org.ow2.asm,asm-commons,4.1,
org.ow2.asm,asm-tree,4.1,
org.ow2.asm,asm-util,4.1,
org.ow2.asm,asm-xml,4.1,
org.quartz-scheduler,quartz,1.7.3,
org.slf4j,jcl-over-slf4j,1.7.2,
org.slf4j,slf4j-api,1.7.2,
org.slf4j,slf4j-log4j12,1.7.2,
org.springframework,spring-aop,3.2.0.RELEASE,
org.springframework,spring-aspects,3.2.0.RELEASE,
org.springframework,spring-beans,3.2.0.RELEASE,
org.springframework,spring-context,3.2.0.RELEASE,
org.springframework,spring-context-support,3.2.0.RELEASE,
org.springframework,spring-core,3.2.0.RELEASE,
org.springframework,spring-expression,3.2.0.RELEASE,
org.springframework,spring-instrument,3.2.0.RELEASE,
org.springframework,spring-instrument-tomcat,3.2.0.RELEASE,
org.springframework,spring-jdbc,3.2.0.RELEASE,
org.springframework,spring-jms,3.2.0.RELEASE,
org.springframework,spring-orm,3.2.0.RELEASE,
org.springframework,spring-oxm,3.2.0.RELEASE,
org.springframework,spring-test,3.2.0.RELEASE,
org.springframework,spring-tx,3.2.0.RELEASE,
org.springframework,spring-web,3.2.0.RELEASE,
org.springframework,spring-webmvc,3.2.0.RELEASE,
org.uispec4j,uispec4j,2.4,
oro,oro,2.0.8,
rhino,js,1.6R7,
struts,struts,1.2.9,
struts,struts-el,1.2.9,
wsdl4j,wsdl4j,1.6.2,
xalan,serializer,2.7.1,
xalan,xalan,2.7.1,
xerces,xercesImpl,2.9.1,
xerces,xmlParserAPIs,2.6.2,
xom,xom,1.1,
,,,
org.jogamp.jogl,jogl-all,2.0.2,
,jogl-all,,natives-linux-i586
,jogl-all,,natives-linux-amd64
,jogl-all,,natives-macosx-universal
,jogl-all,,natives-windows-amd64
,jogl-all,,natives-windows-i586
,,,
org.jogamp.gluegen,gluegen-rt,2.0.2,
,gluegen-rt,,natives-linux-i586
,gluegen-rt,,natives-linux-amd64
,gluegen-rt,,natives-macosx-universal
,gluegen-rt,,natives-windows-amd64
,gluegen-rt,,natives-windows-i586
